| SaleDate            | Amount | Salesperson         |
| ------------------- | ------ | ------------------- |
| 2021-01-01 00:00:00 | 8414   | Barr Faughny        |
| 2021-01-01 00:00:00 | 532    | Dennison Crosswaite |
| 2021-01-01 00:00:00 | 5376   | Karlen McCaffrey    |
| 2021-01-01 00:00:00 | 259    | Barr Faughny        |
| 2021-01-01 00:00:00 | 5530   | Beverie Moffet      |
| 2021-01-01 00:00:00 | 2184   | Rafaelita Blaksland |
| 2021-01-01 00:00:00 | 1057   | Oby Sorrel          |
| 2021-01-01 00:00:00 | 1036   | Dotty Strutley      |
| 2021-01-01 00:00:00 | 4039   | Brien Boise         |
| 2021-01-01 00:00:00 | 12894  | Curtice Advani      |
| 2021-01-01 00:00:00 | 4669   | Madelene Upcott     |
| 2021-01-01 00:00:00 | 6377   | Wilone O'Kielt      |
| 2021-01-01 00:00:00 | 4599   | Jehu Rudeforth      |
| 2021-01-01 00:00:00 | 2751   | Jehu Rudeforth      |
| 2021-01-01 00:00:00 | 15596  | Brien Boise         |
| 2021-01-01 00:00:00 | 8561   | Curtice Advani      |
| 2021-01-01 00:00:00 | 14273  | Camilla Castle      |
| 2021-01-01 00:00:00 | 2506   | Dennison Crosswaite |
| 2021-01-01 00:00:00 | 2387   | Beverie Moffet      |
| 2021-01-01 00:00:00 | 7553   | Andria Kimpton      |
| 2021-01-01 00:00:00 | 3409   | Jehu Rudeforth      |
| 2021-01-01 00:00:00 | 3878   | Kelci Walkden       |
| 2021-01-01 00:00:00 | 3052   | Karlen McCaffrey    |
| 2021-01-04 00:00:00 | 19229  | Madelene Upcott     |
| 2021-01-04 00:00:00 | 1988   | Kelci Walkden       |
| 2021-01-04 00:00:00 | 147    | Karlen McCaffrey    |
| 2021-01-04 00:00:00 | 2401   | Oby Sorrel          |
| 2021-01-04 00:00:00 | 2814   | Husein Augar        |
| 2021-01-04 00:00:00 | 5390   | Curtice Advani      |
| 2021-01-04 00:00:00 | 3920   | Van Tuxwell         |
| 2021-01-04 00:00:00 | 7539   | Beverie Moffet      |
| 2021-01-05 00:00:00 | 17248  | Van Tuxwell         |
| 2021-01-05 00:00:00 | 1176   | Madelene Upcott     |
| 2021-01-05 00:00:00 | 9730   | Rafaelita Blaksland |
| 2021-01-05 00:00:00 | 2226   | Marney O'Breen      |
| 2021-01-05 00:00:00 | 7063   | Madelene Upcott     |
| 2021-01-05 00:00:00 | 7399   | Kaine Padly         |
| 2021-01-05 00:00:00 | 4284   | Wilone O'Kielt      |
| 2021-01-05 00:00:00 | 4865   | Kaine Padly         |
| 2021-01-05 00:00:00 | 3780   | Curtice Advani      |
| 2021-01-05 00:00:00 | 3059   | Jan Morforth        |
| 2021-01-05 00:00:00 | 6622   | Husein Augar        |
| 2021-01-06 00:00:00 | 644    | Wilone O'Kielt      |
| 2021-01-06 00:00:00 | 4935   | Ches Bonnell        |
| 2021-01-06 00:00:00 | 7182   | Jan Morforth        |
| 2021-01-06 00:00:00 | 539    | Andria Kimpton      |
| 2021-01-06 00:00:00 | 637    | Oby Sorrel          |
| 2021-01-06 00:00:00 | 1470   | Kaine Padly         |
| 2021-01-06 00:00:00 | 1442   | Brien Boise         |
| 2021-01-06 00:00:00 | 9023   | Husein Augar        |
| 2021-01-06 00:00:00 | 2709   | Gunar Cockshoot     |
| 2021-01-07 00:00:00 | 5733   | Beverie Moffet      |
| 2021-01-07 00:00:00 | 10451  | Gigi Bohling        |
| 2021-01-07 00:00:00 | 11228  | Madelene Upcott     |
| 2021-01-07 00:00:00 | 3073   | Kelci Walkden       |
| 2021-01-07 00:00:00 | 5467   | Andria Kimpton      |
| 2021-01-07 00:00:00 | 4067   | Ches Bonnell        |
| 2021-01-08 00:00:00 | 2814   | Dennison Crosswaite |
| 2021-01-08 00:00:00 | 2716   | Roddy Speechley     |
| 2021-01-08 00:00:00 | 3570   | Jehu Rudeforth      |
